Category,ProductName,Link
Toys & Games,L.O.L. Surprise! Bling Series with 7 Surprises,https://www.amazon.com//L-L-Surprise-Bling-Surprises/dp/B07BHQ135J/ref=zg_bs_toys-and-games_home_1/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Toys & Games,L.O.L. Surprise! Glam Glitter Series Doll with 7 Surprises,https://www.amazon.com//L-L-Surprise-Glitter-Surprises/dp/B07BHQ14L9/ref=zg_bs_toys-and-games_home_2/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Toys & Games,What Do You Meme? Party Game,https://www.amazon.com//What-Do-You-Meme-Party/dp/B01MRG7T0D/ref=zg_bs_toys-and-games_home_3/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Electronics,Echo Dot (2nd Generation) - Smart speaker with Alexa - Black,https://www.amazon.com//Amazon-Echo-Dot-Portable-Bluetooth-Speaker-with-Alexa-Black/dp/B01DFKC2SO/ref=zg_bs_electronics_home_1/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Electronics,All-new Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,https://www.amazon.com//All-new-Echo-Dot-3rd-Gen/dp/B0792KTHKJ/ref=zg_bs_electronics_home_2/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Electronics,"Fire TV Stick with Alexa Voice Remote, streaming media player",https://www.amazon.com//Amazon-Fire-TV-Stick-With-Alexa-Voice-Remote-Streaming-Media-Player/dp/B00ZV9RDKK/ref=zg_bs_electronics_home_3/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Camera & Photo,"Fujifilm Instax Mini Instant Film (3 Twin Packs, 60 Total Pictures) - International Version",https://www.amazon.com//Fujifilm-Instax-Instant-Packs-Pictures/dp/B00O4OR4GQ/ref=zg_bs_photo_home_1/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Camera & Photo,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa",https://www.amazon.com//Wyze-Indoor-Wireless-Camera-Vision/dp/B076H3SRXG/ref=zg_bs_photo_home_2/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Camera & Photo,"Holy Stone HS210 Mini Drone RC Nano Quadcopter Best Drone for Kids and Beginners RC Helicopter Plane with Auto Hovering, 3D Flip, Headless Mode and Extra Batteries Toys for Boys and Girls",https://www.amazon.com//Holy-Stone-Quadcopter-Beginners-Helicopter/dp/B07DB2NQ3N/ref=zg_bs_photo_home_3/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Video Games,Super Smash Bros. Ultimate,https://www.amazon.com//Super-Smash-Bros-Ultimate-Nintendo-Switch/dp/B01N5OKGLH/ref=zg_bs_videogames_home_1/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Video Games,Grand Theft Auto V - PlayStation 4,https://www.amazon.com//Grand-Theft-Auto-V-PlayStation-4/dp/B00KVSQ848/ref=zg_bs_videogames_home_2/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Video Games,Nintendo Switch – Neon Red and Neon Blue Joy-Con,https://www.amazon.com//Nintendo-Switch-Neon-Red-Blue-Joy/dp/B01MUAGZ49/ref=zg_bs_videogames_home_3/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Books,Becoming,https://www.amazon.com//Becoming-Michelle-Obama/dp/1524763136/ref=zg_bs_books_home_1/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Books,The Wonky Donkey,https://www.amazon.com//Wonky-Donkey-Craig-Smith/dp/0545261244/ref=zg_bs_books_home_2/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
Books,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,https://www.amazon.com//Whose-Boat-This-Aftermath-Hurricane/dp/1982121084/ref=zg_bs_books_home_3/132-9015573-5628553?_encoding=UTF8&psc=1&refRID=ZGYRHXE923PAKQP1G71H
