Price,Info,Location
"$20,000","2 bds · 1 ba · 1,000 sqft",116 N Cleveland Ave HOPKINSVILLE KY 42240
"$20,000",2 bds · 1 ba · 732 sqft,150 Elbert Ln WILLIAMSBURG KY 40769
"$20,000","3 bds · 2 ba · 1,854 sqft",738 Belcher Ln Baxter KY 40831
"$20,000","3 bds · 1 ba · 1,008 sqft",135 Lynnwood Rd MIDDLESBORO KY 40965
"$20,000",3 bds · 1 ba · 984 sqft,4255 Knob Lick Rd Edmonton KY 42129
"$20,000",2 bds · 1 ba · 980 sqft,187 Haus Br BANNER KY 41603
"$20,000",1 bd · 2 ba · 506 sqft,511 1/2 Cleaver St Elizabethtown KY 42701
"$20,000",3 bds · 1 ba · 992 sqft,616 Dr W J Hodge St LOUISVILLE KY 40203
"$20,000",3 bds · 1 ba · 975 sqft,905 S 45th St LOUISVILLE KY 40211
"$20,000","2 bds · 1 ba · 1,222 sqft",2208 Columbia St LOUISVILLE KY 40212
"$20,000","2 bds · 1 ba · 1,072 sqft",2227 Rowan St LOUISVILLE KY 40212
"$20,000","2 bds · 1 ba · 1,171 sqft",2211 Rowan St LOUISVILLE KY 40212
"$20,000",1 bd · 1 ba · 776 sqft,2505 Pirtle St LOUISVILLE KY 40212
"$20,000",2 bds · 1 ba · 704 sqft,2224 Duncan St LOUISVILLE KY 40212
"$20,000","2 bds · 1 ba · 1,260 sqft",2328 Duncan St LOUISVILLE KY 40212
"$20,000",2 bds · 1 ba · 748 sqft,916 7th Ave DAYTON KY 41074
"$19,999",1 bd · 1 ba · 400 sqft,1233 Fentress Hideout Ln Westview KY 40178
"$19,999","3 bds · 1 ba · 1,121 sqft",2302 Dumesnil St LOUISVILLE KY 40210
"$19,900",1 bd · 1 ba · 760 sqft,1714 Aurora Hwy Hardin KY 42048
"$19,900",1 bd · 1 ba · 900 sqft,203 Carter Ave Loyall KY 40854
"$19,900","3 bds · 1 ba · 1,328 sqft",848 Lower Pompey Rd SHELBIANA KY 41562
"$19,900","3 bds · 1 ba · 1,326 sqft",130 Pigeon Roost Br Harold KY 41635
"$19,900","3 bds · 1 ba · 1,452 sqft",9265 Main St Livingston KY 40445
"$19,900","3 bds · 2 ba · 1,200 sqft",10245 Ky-550 Fisty KY 41743
"$19,900","3 bds · 2 ba · 1,618 sqft",3205 Wooton Rd Wooton KY 41776
"$19,900",3 bds · 1 ba · 800 sqft,1381 N Main St Hazard KY 41701
"$19,900","3 bds · 2 ba · 1,200 sqft",10245 Ky-550 Fisty KY 41743
"$19,900",2 bds · 1 ba · 916 sqft,2145 W Lee St LOUISVILLE KY 40210
"$19,900","3 bds · 2 ba · 1,008 sqft",4021 W Muhammad Ali Blvd LOUISVILLE KY 40212
"$19,900",1 bd · 1 ba · 792 sqft,2921 Slevin St LOUISVILLE KY 40212
"$19,900","3 bds · 1 ba · 1,127 sqft",127 N 26th St LOUISVILLE KY 40212
"$19,900","2 bds · 1 ba · 1,137 sqft",514 N 29th St LOUISVILLE KY 40212
"$19,900",2 bds · 1 ba · 800 sqft,226 Woodpecker Ln Worthville KY 41098
"$19,000",2 bds · 1 ba · -- sqft,108 Pace Ave Glasgow KY 42141
"$19,000","2 bds · 1 ba · 1,196 sqft",1718 N 12th St Paducah KY 42001
"$19,000",2 bds · 1 ba · 900 sqft,232 Wallin St Brodhead KY 40409
"$19,000",1 bd · 1 ba · -- sqft,81 Old Railroad Rd McQuady KY 40153
"$19,000",3 bds · 1 ba · 640 sqft,3826 W Muhammad Ali Blvd LOUISVILLE KY 40212
"$19,000",1 bd · 1 ba · 720 sqft,238 S 43rd St LOUISVILLE KY 40212
"$19,000","4 bds · 3 ba · 2,291 sqft",4705 Victory Ave Covington KY 41015
"$18,750",1 bd · 1 ba · 624 sqft,312 Guthrie St Elizabethtown KY 42701
"$18,600",2 bds · 1 ba · 500 sqft,418 Clark St Maysville KY 41056
"$18,600",2 bds · 1 ba · 500 sqft,418 Clark St Maysville KY 41056
"$18,500",2 bds · 1 ba · 750 sqft,616 W Lockridge St Mayfield KY 42066
"$18,000",2 bds · 1 ba · 910 sqft,307 Ellenwood Rd MIDDLESBORO KY 40965
"$18,000","4 bds · 1 ba · 2,126 sqft",7343 Mount Carmel Rd Flemingsburg KY 41041
"$17,900","2 bds · 1 ba · 1,913 sqft",302 E Maple St NICHOLASVILLE KY 40356
"$17,900","3 bds · 1 ba · 1,395 sqft",733 Williams St Paris KY 40361
"$17,900","3 bds · 2 ba · 1,949 sqft",1179 Alton Station Rd LAWRENCEBURG KY 40342
$18K,1 bd · 1 ba · 864 sqft,623 N 30th St LOUISVILLE KY 40212
"$17,500","3 bds · 1 ba · 1,530 sqft",225 Railroad St Island KY 42350
"$17,500",2 bds · 1 ba · 780 sqft,339 Taylor Blvd CAMPBELLSVILLE KY 42718
"$17,500",3 bds · 1 ba · 936 sqft,621 Edgecliff St COVINGTON KY 41014
$17K,2 bds · 1 ba · 671 sqft,812 Lieber St HENDERSON KY 42420
"$17,000","3 bds · 1 ba · 1,040 sqft",13 Barbara Ln Hardin KY 42048
"$17,000","2 bds · 1 ba · 1,010 sqft",646 S 23rd St LOUISVILLE KY 40211
"$17,000",1 bd · 1 ba · 666 sqft,310 Bond St COVINGTON KY 41016
"$16,900","3 bds · 1 ba · 1,200 sqft",112 Lincoln Ct Russellville KY 42276
"$16,900","3 bds · 2 ba · 2,838 sqft",1721 N 12th St Paducah KY 42001
"$16,900","3 bds · 1 ba · 1,154 sqft",515 Powell St HENDERSON KY 42420
"$16,000","4 bds · 1 ba · 1,227 sqft",105 Smith Alley St Burkesville KY 42717
"$16,000",3 bds · 1 ba · 854 sqft,1383 Kentucky Blvd # 484 Hazard KY 41701
