Price,Info,Location
"$17,000","3 bds · 2 ba · 1,300 sqft",45 Halls Br Whitesburg KY 41858
"$17,000","2 bds · 1 ba · 1,092 sqft",345 Concord Dr White Plains KY 42464
"$17,000","3 bds · 1 ba · 1,200 sqft",3153 Highway 3447 Mc Kee KY 40447
"$17,000",1 bd · 1 ba · 666 sqft,310 Bond St COVINGTON KY 41016
"$16,990","2 bds · 2 ba · 1,613 sqft",3913 Garfield Ave LOUISVILLE KY 40212
"$16,900","3 bds · 1 ba · 1,200 sqft",112 Lincoln Ct Russellville KY 42276
"$16,900",3 bds · 2 ba · 954 sqft,340 Park Row MADISONVILLE KY 42431
"$16,900","4 bds · 1 ba · 1,244 sqft",549 Breckenridge St Stanton KY 40380
"$16,900","3 bds · 1 ba · 1,154 sqft",515 Powell St HENDERSON KY 42420
"$16,500",1 bd · 1 ba · 992 sqft,168 Clements St PADUCAH KY 42003
"$16,500",3 bds · 1 ba · 890 sqft,6193 Highway 364 West Liberty KY 41472
"$16,000","4 bds · 1 ba · 1,227 sqft",105 Smith Alley St Burkesville KY 42717
"$15,500",2 bds · 1 ba · 981 sqft,532 Elm St CLINTON KY 42031
"$15,000","3 bds · 2 ba · 1,446 sqft",125 Spa St Elkhorn City KY 41522
"$15,000","3 bds · 1 ba · 1,851 sqft",4117 West Broadway Louisville KY 40211
"$15,000",1 bd · 1 ba · 802 sqft,2814 Finn Ave LOUISVILLE KY 40208
"$15,000","4 bds · 1.5 ba · 1,629 sqft",507 N 4th St FLATWOODS KY 41139
"$15,000",2 bds · 1 ba · -- sqft,5150 Georgetown Rd Owenton KY 40359
"$14,990",2 bds · 1 ba · 824 sqft,7385 Hanson Rd HANSON KY 42413
"$14,900","2 bds · 1 ba · 1,136 sqft",605 Gordon Ave MADISONVILLE KY 42431
"$14,900","2 bds · 1 ba · 1,008 sqft",2475 Rockfork Rd MOREHEAD KY 40351
"$14,900","2 bds · 2 ba · 1,600 sqft",1564 S 9th St LOUISVILLE KY 40208
"$14,900","2 bds · 1 ba · 1,056 sqft",217 W Caroline St Irvington KY 40146
"$14,900",3 bds · 1 ba · 792 sqft,709 Little Mud Lick Rd STAFFORDSVILLE KY 41256
"$14,900",1 bd · 1 ba · 920 sqft,2119 Wilson Ave LOUISVILLE KY 40210
"$14,900",5 bds · 1 ba · -- sqft,16 Ez St Dry Ridge KY 41035
"$14,900","3 bds · 2 ba · 1,056 sqft",39 Wilson Ln ARGILLITE KY 41121
"$14,900","2 bds · 1 ba · 18,672 sqft",474 Jericho Rd Covington KY 41015
"$14,000","2 bds · 1 ba · 1,100 sqft",115 Cornette St DRAKESBORO KY 42337
"$14,000","3 bds · 1 ba · 1,170 sqft",911 Williams St MAYSVILLE KY 41056
"$13,900",3 bds · 1 ba · 980 sqft,2618 Fairmont St PADUCAH KY 42003
"$13,900",1 bd · 1 ba · 696 sqft,1908 Hendricks St Paducah KY 42003
"$13,900",2 bds · 1 ba · 960 sqft,2120 Dumesnil St LOUISVILLE KY 40210
"$13,500","3 bds · 1 ba · 1,325 sqft",234 Rolling Stone Br Teaberry KY 41660
"$13,000","3 bds · 1 ba · 1,808 sqft",230 Railroad St Hustonville KY 40437
"$13,000",1 bd · 1 ba · 960 sqft,211 N 26th St LOUISVILLE KY 40212
"$12,900","3 bds · 1 ba · 1,200 sqft",2385 Highway 26 WILLIAMSBURG KY 40769
"$12,900","2 bds · 1 ba · 1,056 sqft",1275 Highway 3256 Parkers Lake KY 42634
"$12,900",2 bds · 1 ba · 992 sqft,12385 Nortonville Rd Dawson Springs KY 42408
"$12,900","3 bds · 2 ba · 1,440 sqft",238 Old Railroad St Martin KY 41649
"$12,500","3 bds · 2 ba · 1,325 sqft",5478 Us Highway 51 S ARLINGTON KY 42021
"$12,500","2 bds · 1 ba · 1,786 sqft",499 Kingston Rd Water Valley KY 42085
"$12,500",2 bds · 1 ba · 700 sqft,2409 Elliott Ave LOUISVILLE KY 40211
"$12,000","3 bds · 1 ba · 1,000 sqft",208 15th St Corbin KY 40701
"$12,000",3 bds · 2 ba · -- sqft,3351 Billy Drake Rd Central City KY 42330
"$12,000",2 bds · 1 ba · 995 sqft,2013 Wilson Ave LOUISVILLE KY 40210
"$12,000",2 bds · 1 ba · 942 sqft,1819 Wilson Ave LOUISVILLE KY 40210
"$10,000","2 bds · 1 ba · 1,232 sqft",440 N 25th St LOUISVILLE KY 40212
"$10,000","3 bds · 1 ba · 1,238 sqft",2809 W Market St LOUISVILLE KY 40212
"$10,000","3 bds · 1 ba · 1,200 sqft",37 Spence Br Tomahawk KY 41262
"$10,000","2 bds · 1 ba · 12,400 sqft",421 Iowa St Ashland KY 41102
"$9,995",2 bds · 1 ba · 904 sqft,2404 W Madison St LOUISVILLE KY 40211
"$9,900","3 bds · 2 ba · 1,042 sqft",226 N 2nd St Mayfield KY 42066
"$9,900","3 bds · 1 ba · 1,440 sqft",154 Bond St IRVINE KY 40336
"$9,900","3 bds · 2 ba · 1,376 sqft",1815 Grand Ave LOUISVILLE KY 40210
"$9,900",2 bds · 1 ba · 800 sqft,360 E 4th St Maysville KY 41056
"$9,500",3 bds · 1 ba · 720 sqft,2692 Hawk Creek Rd LONDON KY 40741
"$9,250","2 bds · 1 ba · 1,410 sqft",312 3rd St CLOVERPORT KY 40111
"$9,000",2 bds · 1 ba · 684 sqft,1317 S 9th St Paducah KY 42003
"$9,000","2 bds · 2 ba · 1,629 sqft",2626 Grand Ave LOUISVILLE KY 40211
"$9,000",3 bds · 1 ba · 992 sqft,2614 Greenwood Ave LOUISVILLE KY 40211
$8.8K,"5 bds · 1 ba · 1,881 sqft",155 Hitchcock Loop VAN LEAR KY 41265
$8.1K,"1 bd · 1 ba · 1,214 sqft",3342 Grand Ave LOUISVILLE KY 40211
"$8,000","3 bds · 1 ba · 1,040 sqft",149 Haven Rd Mayfield KY 42066
$7.6K,1 bd · 1 ba · 733 sqft,1731 W Hill St LOUISVILLE KY 40210
$7.3K,"2 bds · 1 ba · 1,202 sqft",2337 Magazine St LOUISVILLE KY 40211
$7.1K,"3 bds · 1 ba · 1,288 sqft",1329 S 26th St LOUISVILLE KY 40210
"$7,000","3 bds · 2 ba · 1,438 sqft",223 Squire Ln Topmost KY 41862
"$6,900","2 bds · 2 ba · 1,464 sqft",2819 W Chestnut St LOUISVILLE KY 40211
$6.5K,1 bd · 1 ba · 867 sqft,1708 Wilson Ave LOUISVILLE KY 40210
$6.2K,"1 bd · 1 ba · 1,470 sqft",2518 Garland Ave LOUISVILLE KY 40211
"$6,000",1 bd · 1 ba · 950 sqft,2641 W Kentucky St LOUISVILLE KY 40211
"$6,000","3 bds · 2 ba · 1,350 sqft",900 Heaberlin Rd WURTLAND KY 41144
$5.7K,2 bds · 1 ba · 848 sqft,2122 W Ormsby Ave LOUISVILLE KY 40210
$4.7K,1 bd · 1 ba · 998 sqft,2830 Greenwood Ave LOUISVILLE KY 40211
$4.3K,"2 bds · 1 ba · 1,439 sqft",230 W College St Mayfield KY 42066
$4.3K,1 bd · 1 ba · 992 sqft,2416 Garland Ave LOUISVILLE KY 40211
$4.0K,"2 bds · 2 ba · 1,329 sqft",2715 W Madison St LOUISVILLE KY 40211
$3.9K,1 bd · 1 ba · 832 sqft,219 S 23rd St LOUISVILLE KY 40212
$3.8K,"1 bd · 1 ba · 1,274 sqft",3120 Virginia Ave LOUISVILLE KY 40211
$3.5K,"3 bds · 1 ba · 1,064 sqft",79 Tygart Ln SOUTH SHORE KY 41175
$2.5K,2 bds · 1 ba · -- sqft,1891 Rayburn Rd Ashland KY 41102
$2.1K,2 bds · 1 ba · 726 sqft,1118 Brickyard Hl Jenkins KY 41537
$1.9K,2 bds · 1.5 ba · -- sqft,KY 221 Kettle Island KY 40958
$1.0K,3 bds · 2 ba · 720 sqft,180 Kildav Hill Rd EVARTS KY 40828
$1.0K,2 bds · 1 ba · -- sqft,34 Cedar Flat Curtis Rd Edmonton KY 42129
$1.0K,2 bds · 1 ba · -- sqft,47 Summersville Rd Greensburg KY 42743
$1.0K,4 bds · 2 ba · -- sqft,1095 Mount Gilboa Rd CAMPBELLSVILLE KY 42718
$1.0K,3 bds · 1 ba · -- sqft,876 Donansburg New Salem Rd GREENSBURG KY 42743
$1,"3 bds · 2 ba · 1,940 sqft",8401 Siesta Way LOUISVILLE KY 40219
